ObjectID,X,Y,ID,pHH20,pHKCl,Гумус %,P мг/кг,K мг/кг,Mn мг/кг,Co мг/кг,Cu мг/кг,Zn мг/кг,Mo мг/кг,B мг/кг,Ca ммоль-экв/100г,Mg ммоль-экв/100г,Al ммоль-экв/100г,N_NH4  мг/кг  ,N_NO3  мг/кг  ,soil_name,texture,parentrock,relief,code,area,Z,NDVI 13062019
1,38.880211,53.629051,1,5.8,5,6.5,81.1,178.3,24.1,0.04,0.06,0.21,0,2.2,13.7,2.7,0,8.9,40.8,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,1.70666821386899,0.727740586
2,38.87638,53.627953,2,5.9,5.1,6.2,262.9,328.8,29,0.04,0.07,0.18,0,2.6,14.3,2.6,0,12.1,43.4,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,1.81137573661958,0.658671081
3,38.871806,53.628301,3,5.7,4.9,7.4,202.3,255.5,27.9,0.04,0.1,0.25,0,2.1,12.5,2.5,0,9,24.3,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,199339,1.89133701176396,0.768856466
4,38.869034,53.627647,4,5.9,5,7.2,66.7,136.8,15.1,0.03,0.1,0.37,0,2.3,14.4,2.7,0,9.1,21.8,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.91913471144598,0.722283185
5,38.869721,53.629889,5,5.7,5,6.7,68,210.7,22.9,0.04,0.06,0.22,0,2,12.5,2.3,0,8.2,24.1,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.60945761127294,0.70066452
6,38.867472,53.630386,6,5.8,5,7.4,61.1,134.1,13.1,0.02,0.06,0.15,0,2,13.8,2.3,0,12.5,26.9,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,254939,1.39859440712485,0.693211854
7,38.864552,53.632659,7,6.4,5.2,8.1,114,331.3,8.2,0.02,0.08,0.2,0,2.2,12.7,2.2,0,3.4,7.3,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,6067,1.4161105325755,0.799672246
8,38.863867,53.626297,8,6.3,5.5,7.8,84.7,315,25.2,0.04,0.07,0.64,0,1.7,12.1,3.3,0,12.6,0,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,1474204,2.06096744183073,0.705134749
9,38.849841,53.624469,9,6.1,5.1,6.7,101.8,177.4,17.6,0.03,0.14,0.43,0,2.2,13.3,2.4,0,15.3,38.9,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,39499,2.05084318440941,0.717805803
10,38.833357,53.623853,10,6.5,5.5,4.8,54.9,125.6,11.6,0.02,1.14,0.14,0.02,1.8,14.6,2,0,9.6,23.8,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,88888,2.14465631418187,0.699386477
